verse_id	version
11008011	KJV
11008021	KJV
11008026	KJV
11008030	KJV
11008032	KJV
11008034	KJV
11008036	KJV
11008040	KJV
11008043	KJV
11008045	KJV
11008053	KJV
11008061	KJV
11009001	KJV
11009009	KJV
11009014	KJV
11009023	KJV
11009024	KJV
11009025	KJV
11010001	KJV
11010010	KJV
11010012	KJV
11010013	KJV
11010022	KJV
11010025	KJV
11011001	KJV
11011008	KJV
11011013	KJV
11011022	KJV
11011025	KJV
11011040	KJV
11012001	KJV
11012005	KJV
11012011	KJV
11012015	KJV
11012020	KJV
11012024	KJV
11012025	KJV
11013001	KJV
11013010	KJV
11013019	KJV
11013025	KJV
11013032	KJV
11014001	KJV
11014005	KJV
11014016	KJV
11014020	KJV
11014024	KJV
11014028	KJV
11015001	KJV
11015006	KJV
11015008	KJV
11015015	KJV
11015022	KJV
11015024	KJV
11015026	KJV
11015030	KJV
11015032	KJV
11016001	KJV
11016004	KJV
11016007	KJV
11016014	KJV
11016020	KJV
11016028	KJV
11017001	KJV
11017007	KJV
11017016	KJV
11018001	KJV
11018006	KJV
11018015	KJV
11018019	KJV
11018024	KJV
11018029	KJV
11018040	KJV
11019001	KJV
11019003	KJV
11019008	KJV
11019014	KJV
11019018	KJV
11020001	KJV
11020006	KJV
11020012	KJV
11020015	KJV
11020021	KJV
11020025	KJV
11020030	KJV
11020034	KJV
11021001	KJV
11021004	KJV
11021010	KJV
11021016	KJV
11021026	KJV
11022001	KJV
11022004	KJV
11022012	KJV
11022023	KJV
11022028	KJV
11022036	KJV
11022040	KJV
